year,age,population,sex
1989,0,370680,men
1989,0,354974,women
1989,1,379109,men
1989,1,362729,women
1989,2,397772,men
1989,2,381864,women
1989,3,387079,men
1989,3,374154,women
1989,4,399224,men
1989,4,383125,women
1989,5,403120,men
1989,5,390385,women
1989,6,374190,men
1989,6,361074,women
1989,7,361379,men
1989,7,349656,women
1989,8,374245,men
1989,8,360196,women
1989,9,366513,men
1989,9,353263,women
1989,10,365252,men
1989,10,353444,women
1989,11,358882,men
1989,11,348483,women
1989,12,374373,men
1989,12,363147,women
1989,13,369002,men
1989,13,359436,women
1989,14,367348,men
1989,14,357371,women
1989,15,372240,men
1989,15,354567,women
1989,16,386514,men
1989,16,368871,women
1989,17,377658,men
1989,17,355397,women
1989,18,350223,men
1989,18,343807,women
1989,19,321252,men
1989,19,318730,women
1989,20,328366,men
1989,20,327607,women
1989,21,331818,men
1989,21,325406,women
1989,22,340749,men
1989,22,335322,women
1989,23,332679,men
1989,23,329902,women
1989,24,350974,men
1989,24,349593,women
1989,25,373758,men
1989,25,375162,women
1989,26,386940,men
1989,26,390165,women
1989,27,395429,men
1989,27,397253,women
1989,28,412097,men
1989,28,417496,women
1989,29,401412,men
1989,29,407403,women
1989,30,403062,men
1989,30,410270,women
1989,31,391578,men
1989,31,398415,women
1989,32,383800,men
1989,32,394610,women
1989,33,367004,men
1989,33,378197,women
1989,34,378785,men
1989,34,393285,women
1989,35,353831,men
1989,35,368733,women
1989,36,367021,men
1989,36,383364,women
1989,37,364720,men
1989,37,378440,women
1989,38,362303,men
1989,38,381820,women
1989,39,378533,men
1989,39,403483,women
1989,40,331739,men
1989,40,353979,women
1989,41,287001,men
1989,41,308456,women
1989,42,284709,men
1989,42,309668,women
1989,43,181163,men
1989,43,202009,women
1989,44,210991,men
1989,44,237363,women
1989,45,198678,men
1989,45,222868,women
1989,46,246684,men
1989,46,281601,women
1989,47,337941,men
1989,47,381218,women
1989,48,342251,men
1989,48,390299,women
1989,49,378488,men
1989,49,440594,women
1989,50,405192,men
1989,50,475089,women
1989,51,428888,men
1989,51,490721,women
1989,52,352047,men
1989,52,405164,women
1989,53,302219,men
1989,53,341309,women
1989,54,237263,men
1989,54,266450,women
1989,55,201486,men
1989,55,236385,women
1989,56,248080,men
1989,56,307450,women
1989,57,259637,men
1989,57,316730,women
1989,58,312694,men
1989,58,398160,women
1989,59,294377,men
1989,59,380545,women
1989,60,309841,men
1989,60,415195,women
1989,61,289783,men
1989,61,392852,women
1989,62,252197,men
1989,62,396793,women
1989,63,222412,men
1989,63,379047,women
1989,64,200714,men
1989,64,374278,women
1989,65,176425,men
1989,65,337763,women
1989,66,144950,men
1989,66,307433,women
1989,67,131395,men
1989,67,265449,women
1989,68,108535,men
1989,68,226483,women
1989,69,102297,men
1989,69,219660,women
1989,70,104614,men
1989,70,231430,women
1989,71,64816,men
1989,71,145290,women
1989,72,68603,men
1989,72,163322,women
1989,73,81736,men
1989,73,193466,women
1989,74,100189,men
1989,74,260239,women
1989,75,91415,men
1989,75,222941,women
1989,76,93374,men
1989,76,252503,women
1989,77,76578,men
1989,77,190244,women
1989,78,73652,men
1989,78,208216,women
1989,79,59937,men
1989,79,156056,women
1989,80 і старше,285892,men
1989,80 і старше,878031,women
1989,Вік невідомий,3311,men
1989,Вік невідомий,3578,women
1990,0,352522,men
1990,0,335605,women
1990,1,380267,men
1990,1,362021,women
1990,2,379354,men
1990,2,362989,women
1990,3,398030,men
1990,3,382896,women
1990,4,386286,men
1990,4,374139,women
1990,5,397974,men
1990,5,382253,women
1990,6,404597,men
1990,6,391306,women
1990,7,374984,men
1990,7,361085,women
1990,8,362209,men
1990,8,350422,women
1990,9,374491,men
1990,9,360813,women
1990,10,366802,men
1990,10,353209,women
1990,11,364897,men
1990,11,353218,women
1990,12,358238,men
1990,12,348047,women
1990,13,374567,men
1990,13,363691,women
1990,14,368090,men
1990,14,359195,women
1990,15,370365,men
1990,15,359739,women
1990,16,373279,men
1990,16,356708,women
1990,17,388531,men
1990,17,372229,women
1990,18,370674,men
1990,18,353298,women
1990,19,346604,men
1990,19,342551,women
1990,20,324792,men
1990,20,319683,women
1990,21,327289,men
1990,21,328804,women
1990,22,335241,men
1990,22,326939,women
1990,23,339661,men
1990,23,335874,women
1990,24,331750,men
1990,24,331207,women
1990,25,351303,men
1990,25,351115,women
1990,26,373741,men
1990,26,377202,women
1990,27,386329,men
1990,27,391416,women
1990,28,394856,men
1990,28,399436,women
1990,29,411831,men
1990,29,415661,women
1990,30,402297,men
1990,30,411428,women
1990,31,396902,men
1990,31,405249,women
1990,32,390979,men
1990,32,399770,women
1990,33,381487,men
1990,33,394305,women
1990,34,364733,men
1990,34,377968,women
1990,35,376286,men
1990,35,391994,women
1990,36,349901,men
1990,36,366551,women
1990,37,368623,men
1990,37,386077,women
1990,38,363619,men
1990,38,379263,women
1990,39,361510,men
1990,39,382355,women
1990,40,380440,men
1990,40,406468,women
1990,41,320468,men
1990,41,344694,women
1990,42,287632,men
1990,42,311224,women
1990,43,274546,men
1990,43,302055,women
1990,44,179601,men
1990,44,201856,women
1990,45,214931,men
1990,45,241642,women
1990,46,194441,men
1990,46,219606,women
1990,47,254314,men
1990,47,289885,women
1990,48,329383,men
1990,48,375044,women
1990,49,342436,men
1990,49,392971,women
1990,50,375421,men
1990,50,441018,women
1990,51,400020,men
1990,51,472350,women
1990,52,424131,men
1990,52,488750,women
1990,53,344653,men
1990,53,400038,women
1990,54,297453,men
1990,54,338658,women
1990,55,227760,men
1990,55,259023,women
1990,56,197711,men
1990,56,234948,women
1990,57,246548,men
1990,57,308934,women
1990,58,261294,men
1990,58,322269,women
1990,59,296344,men
1990,59,381177,women
1990,60,292886,men
1990,60,383248,women
1990,61,301355,men
1990,61,410137,women
1990,62,281255,men
1990,62,386798,women
1990,63,243509,men
1990,63,390404,women
1990,64,214022,men
1990,64,372572,women
1990,65,194055,men
1990,65,369345,women
1990,66,166625,men
1990,66,326580,women
1990,67,138869,men
1990,67,301648,women
1990,68,125330,men
1990,68,258182,women
1990,69,103161,men
1990,69,219641,women
1990,70,100962,men
1990,70,227952,women
1990,71,89877,men
1990,71,192789,women
1990,72,64494,men
1990,72,153160,women
1990,73,64610,men
1990,73,157870,women
1990,74,76812,men
1990,74,186416,women
1990,75,93266,men
1990,75,249580,women
1990,76,84161,men
1990,76,209710,women
1990,77,85727,men
1990,77,238935,women
1990,78,69153,men
1990,78,187615,women
1990,79,67044,men
1990,79,170551,women
1990,80 і старше,293605,men
1990,80 і старше,906863,women
1990,Вік невідомий,NA,men
1990,Вік невідомий,NA,women
1991,0,333778,men
1991,0,317211,women
1991,1,352870,men
1991,1,336108,women
1991,2,380815,men
1991,2,362501,women
1991,3,380973,men
1991,3,364403,women
1991,4,399856,men
1991,4,384603,women
1991,5,388243,men
1991,5,375319,women
1991,6,399552,men
1991,6,383697,women
1991,7,406417,men
1991,7,392458,women
1991,8,376274,men
1991,8,361647,women
1991,9,363290,men
1991,9,351469,women
1991,10,375371,men
1991,10,361698,women
1991,11,366655,men
1991,11,353101,women
1991,12,364744,men
1991,12,353271,women
1991,13,357746,men
1991,13,347474,women
1991,14,374246,men
1991,14,363743,women
1991,15,370713,men
1991,15,361873,women
1991,16,370474,men
1991,16,360509,women
1991,17,373295,men
1991,17,359332,women
1991,18,380980,men
1991,18,370949,women
1991,19,365630,men
1991,19,353121,women
1991,20,347904,men
1991,20,344178,women
1991,21,327608,men
1991,21,320938,women
1991,22,328031,men
1991,22,329505,women
1991,23,334884,men
1991,23,327443,women
1991,24,338821,men
1991,24,336697,women
1991,25,331477,men
1991,25,332455,women
1991,26,350885,men
1991,26,351914,women
1991,27,372955,men
1991,27,377976,women
1991,28,385121,men
1991,28,391793,women
1991,29,394029,men
1991,29,400022,women
1991,30,411047,men
1991,30,416588,women
1991,31,400217,men
1991,31,411682,women
1991,32,395306,men
1991,32,405736,women
1991,33,388920,men
1991,33,399299,women
1991,34,380121,men
1991,34,394509,women
1991,35,362767,men
1991,35,377784,women
1991,36,374288,men
1991,36,391859,women
1991,37,347532,men
1991,37,366061,women
1991,38,366680,men
1991,38,385506,women
1991,39,361933,men
1991,39,379271,women
1991,40,359788,men
1991,40,382165,women
1991,41,378105,men
1991,41,405966,women
1991,42,318195,men
1991,42,344012,women
1991,43,285548,men
1991,43,310646,women
1991,44,272612,men
1991,44,301801,women
1991,45,178667,men
1991,45,201725,women
1991,46,213481,men
1991,46,241270,women
1991,47,192795,men
1991,47,219183,women
1991,48,251903,men
1991,48,289080,women
1991,49,326270,men
1991,49,374326,women
1991,50,338858,men
1991,50,392104,women
1991,51,370975,men
1991,51,439450,women
1991,52,394807,men
1991,52,470134,women
1991,53,418136,men
1991,53,486483,women
1991,54,339568,men
1991,54,397967,women
1991,55,292512,men
1991,55,336935,women
1991,56,223704,men
1991,56,257476,women
1991,57,193666,men
1991,57,232738,women
1991,58,241037,men
1991,58,305978,women
1991,59,255486,men
1991,59,318779,women
1991,60,289975,men
1991,60,378497,women
1991,61,284799,men
1991,61,378214,women
1991,62,292726,men
1991,62,404468,women
1991,63,272791,men
1991,63,381250,women
1991,64,235181,men
